5 Minutes	Lane 1 Truck Prop (%)	Lane 2 Truck Prop (%)	Lane 3 Truck Prop (%)	Truck Prop (%)	# Lane Points	% Observed
09/02/2015 00:00	0	6.7	48.4	21.2	3	67
09/02/2015 00:05	0	0	48	14.6	3	67
09/02/2015 00:10	0	48.7	48.1	37.6	3	67
09/02/2015 00:15	0	2.9	47.6	15.7	3	67
09/02/2015 00:20	0	2.5	50	17.3	3	67
09/02/2015 00:25	0	48.6	47.6	42.2	3	67
09/02/2015 00:30	0	6.5	47.1	17.9	3	67
09/02/2015 00:35	0	6.3	50	19	3	67
09/02/2015 00:40	0	48.4	47.1	37.7	3	67
09/02/2015 00:45	0	0	46.7	14.3	3	67
09/02/2015 00:50	0	50	47.4	42.6	3	67
09/02/2015 00:55	0	0	50	16.7	3	67
09/02/2015 01:00	0	8.7	50	20.5	3	67
09/02/2015 01:05	0	18.2	50	29.2	3	67
09/02/2015 01:10	0	0	50	18.2	3	67
09/02/2015 01:15	0	3.1	50	18.2	3	67
09/02/2015 01:20	0	0	50	19	3	67
09/02/2015 01:25	0	8.3	50	20.9	3	67
09/02/2015 01:30	0	0	46.7	16.7	3	67
09/02/2015 01:35	0	3.6	50	18	3	67
09/02/2015 01:40	0	13	46.7	23.3	3	67
09/02/2015 01:45	0	18.2	50	27.5	3	67
09/02/2015 01:50	0	9.5	50	23.7	3	67
09/02/2015 01:55	0	0	50	13.9	3	67
09/02/2015 02:00	0	5	45.5	16.7	3	67
09/02/2015 02:05	0	0	50	16.3	3	67
09/02/2015 02:10	0	0	50	18.4	3	67
09/02/2015 02:15	0	0	50	13.5	3	67
09/02/2015 02:20	0	0	48.3	28	3	67
09/02/2015 02:25	0	50	50	44.4	3	67
09/02/2015 02:30	0	4.5	50	17.1	3	67
09/02/2015 02:35	0	33.3	50	36.7	3	67
09/02/2015 02:40	0	48.1	46.2	39.6	3	67
09/02/2015 02:45	0	0	50	22.9	3	67
09/02/2015 02:50	0	50	46.2	40	3	67
09/02/2015 02:55	0	24	45.5	28.9	3	67
09/02/2015 03:00	0	0	50	20.6	3	67
09/02/2015 03:05	0	0	50	18.2	3	67
09/02/2015 03:10	0	50	44.4	37.8	3	67
09/02/2015 03:15	0	11.1	50	22.9	3	67
09/02/2015 03:20	0	18.2	50	28.2	3	67
09/02/2015 03:25	0	0	48.1	22.8	3	67
09/02/2015 03:30	0	8.1	48.1	22.2	3	67
09/02/2015 03:35	0	0	50	20.5	3	67
09/02/2015 03:40	0	8	48	24.1	3	67
09/02/2015 03:45	0	50	47.6	43.5	3	67
09/02/2015 03:50	0	48	46.7	43.2	3	67
09/02/2015 03:55	0	7.4	46.7	19.1	3	67
09/02/2015 04:00	0	10.3	48	22.5	3	67
09/02/2015 04:05	0	50	47.6	40	3	67
09/02/2015 04:10	0	14.3	47.6	21.7	3	67
09/02/2015 04:15	0	3.1	50	17.2	3	67
09/02/2015 04:20	0	50	50	41.9	3	67
09/02/2015 04:25	0	48.6	48	39	3	67
09/02/2015 04:30	0	37.2	48.3	34.9	3	67
09/02/2015 04:35	0	50	50	38.3	3	67
09/02/2015 04:40	0	1.7	34.8	12.7	3	67
09/02/2015 04:45	0	7.4	45	18.2	3	67
09/02/2015 04:50	0	10	50	19.8	3	67
09/02/2015 04:55	0	4.2	50	18.7	3	67
09/02/2015 05:00	0	10.2	40	18	3	67
09/02/2015 05:05	0	49	48.6	36.3	3	67
09/02/2015 05:10	0	14	48.6	19.5	3	67
09/02/2015 05:15	0	6	43.1	14.9	3	67
09/02/2015 05:20	0	49.4	49.1	36.5	3	67
09/02/2015 05:25	0	30.9	42.6	24.8	3	67
09/02/2015 05:30	0	0	24.6	7.1	3	67
09/02/2015 05:35	0	3.3	26.2	9.2	3	67
09/02/2015 05:40	0	4.5	34.7	10.8	3	67
09/02/2015 05:45	0	32.4	40.8	22.4	3	67
09/02/2015 05:50	0	2.6	32.4	9.8	3	67
09/02/2015 05:55	0	12.8	41.7	15.5	3	67
09/02/2015 06:00	0	6.4	34.2	12.3	3	67
09/02/2015 06:05	0	12.4	27.4	12.8	3	67
09/02/2015 06:10	0	4.9	39	11.5	3	67
09/02/2015 06:15	0	18.9	30.3	15.4	3	67
09/02/2015 06:20	0	9.1	24.8	9.3	3	67
09/02/2015 06:25	0	13.7	27.6	11.5	3	67
09/02/2015 06:30	0	2.6	21.4	6.6	3	67
09/02/2015 06:35	0	7.2	23.2	8.4	3	67
09/02/2015 06:40	0	4.1	19.3	6.4	3	67
09/02/2015 06:45	0	3.7	21.2	6.6	3	67
09/02/2015 06:50	0	2.4	25.7	7.1	3	67
09/02/2015 06:55	0	6.7	24.8	8.4	3	67
09/02/2015 07:00	0	5.7	19	7.1	3	67
09/02/2015 07:05	0	6.6	22.9	8.2	3	67
09/02/2015 07:10	0	7.2	20.3	7.9	3	67
09/02/2015 07:15	0	19.5	22.5	12.4	3	67
09/02/2015 07:20	0	4.3	18.6	7	3	67
09/02/2015 07:25	0	3.7	17.3	5.7	3	67
09/02/2015 07:30	0	13.8	19	9.6	3	67
09/02/2015 07:35	0	7.6	15.5	6.9	3	67
09/02/2015 07:40	0	5.3	26.3	8.1	3	67
09/02/2015 07:45	0	0	0	0	3	67
09/02/2015 07:50	0	5.2	14.3	5.4	3	67
09/02/2015 07:55	0	5.7	20.5	7.5	3	67
09/02/2015 08:00	0	6.8	22.6	8.7	3	67
09/02/2015 08:05	0	15.5	10.8	8.3	3	67
09/02/2015 08:10	0	8.8	4.7	4.3	3	67
09/02/2015 08:15	0	2.5	17.9	5.6	3	67
09/02/2015 08:20	0	1.8	13.4	4.4	3	67
09/02/2015 08:25	0	1.2	26.4	6.8	3	67
09/02/2015 08:30	0	4.3	13.1	5.5	3	67
09/02/2015 08:35	0	6.4	19.4	7.7	3	67
09/02/2015 08:40	0	4.1	22.2	7.6	3	67
09/02/2015 08:45	0	2.5	17.5	6	3	67
09/02/2015 08:50	0	5.6	27.7	9.6	3	67
09/02/2015 08:55	0	8.5	18	8	3	67
09/02/2015 09:00	0	14.1	17.5	10.5	3	67
09/02/2015 09:05	0	12.7	18.3	10	3	67
09/02/2015 09:10	0	3.2	18.7	6.8	3	67
09/02/2015 09:15	0	6.3	23.7	9.7	3	67
09/02/2015 09:20	0	7.5	16.1	7.6	3	67
09/02/2015 09:25	0	4.2	16.3	6.7	3	67
09/02/2015 09:30	0	6	12	5.9	3	67
09/02/2015 09:35	0	0	0	0	3	67
09/02/2015 09:40	0	7.8	27.2	10.5	3	67
09/02/2015 09:45	0	3.3	20.5	7	3	67
09/02/2015 09:50	0	3.7	11.2	4.8	3	67
09/02/2015 09:55	0	12.7	28.8	13.1	3	67
09/02/2015 10:00	0	12.5	17.8	10	3	67
09/02/2015 10:05	0	8.6	25.4	10.8	3	67
09/02/2015 10:10	0	3.9	17.2	6.8	3	67
09/02/2015 10:15	0	7.6	16.3	7.9	3	67
09/02/2015 10:20	0	0	9.3	2.9	3	0
09/02/2015 10:25	0	1	13.1	5.1	3	67
09/02/2015 10:30	0	2.9	14.8	6	3	67
09/02/2015 10:35	0	4.7	15.8	6.9	3	67
09/02/2015 10:40	0	7.4	19.7	8.8	3	67
09/02/2015 10:45	0	7.4	18	7.9	3	67
09/02/2015 10:50	0	10.6	15	8.2	3	67
09/02/2015 10:55	0	9.2	16.5	8.9	3	67
09/02/2015 11:00	0	7.6	12.1	6.9	3	67
09/02/2015 11:05	0	13.3	4	6.3	3	67
09/02/2015 11:10	0	5.6	14.7	6.9	3	67
09/02/2015 11:15	0	12.2	10.1	7.6	3	67
09/02/2015 11:20	0	11.7	14.9	8.8	3	67
09/02/2015 11:25	0	9.9	8.1	5.8	3	67
09/02/2015 11:30	0	20.7	12.4	11.7	3	67
09/02/2015 11:35	0	4.1	9.2	4.4	3	67
09/02/2015 11:40	0	.6	10.8	3.6	3	67
09/02/2015 11:45	0	6.1	6.1	4.2	3	67
09/02/2015 11:50	0	4.7	11.3	5.3	3	67
09/02/2015 11:55	0	12.6	18	9.5	3	67
09/02/2015 12:00	0	12.2	14.7	9.3	3	67
09/02/2015 12:05	0	10.4	10.9	7.6	3	67
09/02/2015 12:10	0	4.1	10.3	4.8	3	67
09/02/2015 12:15	0	10.3	12.2	7.2	3	67
09/02/2015 12:20	0	12.2	11.4	7.7	3	67
09/02/2015 12:25	0	9.3	18.6	8.8	3	67
09/02/2015 12:30	0	6.4	18.6	7.7	3	67
09/02/2015 12:35	0	6.1	17.4	7.7	3	67
09/02/2015 12:40	0	1.3	11.8	3.9	3	67
09/02/2015 12:45	0	7.4	19.7	8.4	3	67
09/02/2015 12:50	0	6.7	18.4	7.7	3	67
09/02/2015 12:55	0	13.9	28.9	13.4	3	67
09/02/2015 13:00	0	9.3	23.1	9.8	3	67
09/02/2015 13:05	0	2	13.6	4.6	3	67
09/02/2015 13:10	0	5.4	18.2	7.1	3	67
09/02/2015 13:15	0	3.1	14.6	5.7	3	67
09/02/2015 13:20	0	10.1	23.8	10.5	3	67
09/02/2015 13:25	0	9.3	21.9	9.9	3	67
09/02/2015 13:30	0	10.1	24.1	10.6	3	67
09/02/2015 13:35	0	12.8	27.1	12.2	3	67
09/02/2015 13:40	0	6.4	18.6	7.5	3	67
09/02/2015 13:45	0	5.3	17.8	7	3	67
09/02/2015 13:50	0	3.2	14.8	5.5	3	67
09/02/2015 13:55	0	5.7	18.2	7.3	3	67
09/02/2015 14:00	0	5.8	17.9	7.2	3	67
09/02/2015 14:05	0	4.3	16.2	6.4	3	67
09/02/2015 14:10	0	3.6	14.8	5.8	3	67
09/02/2015 14:15	0	5.7	18.2	7.6	3	67
09/02/2015 14:20	0	5.8	18	7.1	3	67
09/02/2015 14:25	0	4.2	15.9	6.2	3	67
09/02/2015 14:30	0	6	20.8	7.8	3	67
09/02/2015 14:35	0	3	13.9	5.4	3	67
09/02/2015 14:40	0	7.5	22.6	9.1	3	67
09/02/2015 14:45	0	4.3	21.5	7.3	3	67
09/02/2015 14:50	0	3.9	15.2	5.8	3	67
09/02/2015 14:55	0	3.3	14.8	5.3	3	67
09/02/2015 15:00	0	9.4	22.4	9.8	3	67
09/02/2015 15:05	0	10.8	24.8	10.9	3	67
09/02/2015 15:10	0	2.6	14.9	5.1	3	67
09/02/2015 15:15	0	4.4	16.2	6.3	3	67
09/02/2015 15:20	0	3.1	14.6	5.5	3	67
09/02/2015 15:25	0	9	24.6	10.1	3	67
09/02/2015 15:30	0	6.5	18.7	8	3	67
09/02/2015 15:35	0	9.1	22.5	9.7	3	67
09/02/2015 15:40	0	9.3	22.6	9.9	3	67
09/02/2015 15:45	0	8.2	20.8	8.7	3	67
09/02/2015 15:50	0	3.2	24.6	7.5	3	67
09/02/2015 15:55	0	4.5	16.5	6.5	3	67
09/02/2015 16:00	0	2.7	22.8	7.1	3	67
