5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
09/02/2015 00:00	9	45	31	85	3	67
09/02/2015 00:05	20	37	25	82	3	67
09/02/2015 00:10	19	39	27	85	3	67
09/02/2015 00:15	14	35	21	70	3	67
09/02/2015 00:20	15	40	26	81	3	67
09/02/2015 00:25	8	35	21	64	3	67
09/02/2015 00:30	8	31	17	56	3	67
09/02/2015 00:35	11	32	20	63	3	67
09/02/2015 00:40	13	31	17	61	3	67
09/02/2015 00:45	8	26	15	49	3	67
09/02/2015 00:50	6	22	19	47	3	67
09/02/2015 00:55	10	34	22	66	3	67
09/02/2015 01:00	7	23	14	44	3	67
09/02/2015 01:05	6	33	26	65	3	67
09/02/2015 01:10	9	26	20	55	3	67
09/02/2015 01:15	5	32	18	55	3	67
09/02/2015 01:20	7	19	16	42	3	67
09/02/2015 01:25	5	24	14	43	3	67
09/02/2015 01:30	5	22	15	42	3	67
09/02/2015 01:35	6	28	16	50	3	67
09/02/2015 01:40	5	23	15	43	3	67
09/02/2015 01:45	9	22	20	51	3	67
09/02/2015 01:50	3	21	14	38	3	67
09/02/2015 01:55	6	20	10	36	3	67
09/02/2015 02:00	5	20	11	36	3	67
09/02/2015 02:05	5	24	14	43	3	67
09/02/2015 02:10	3	21	14	38	3	67
09/02/2015 02:15	4	23	10	37	3	67
09/02/2015 02:20	8	13	29	50	3	67
09/02/2015 02:25	4	20	12	36	3	67
09/02/2015 02:30	7	22	12	41	3	67
09/02/2015 02:35	3	15	12	30	3	67
09/02/2015 02:40	8	27	13	48	3	67
09/02/2015 02:45	4	15	16	35	3	67
09/02/2015 02:50	8	24	13	45	3	67
09/02/2015 02:55	2	25	11	38	3	67
09/02/2015 03:00	3	17	14	34	3	67
09/02/2015 03:05	1	20	12	33	3	67
09/02/2015 03:10	8	20	9	37	3	67
09/02/2015 03:15	5	18	12	35	3	67
09/02/2015 03:20	3	22	14	39	3	67
09/02/2015 03:25	6	24	27	57	3	67
09/02/2015 03:30	8	37	27	72	3	67
09/02/2015 03:35	6	20	18	44	3	67
09/02/2015 03:40	8	25	25	58	3	67
09/02/2015 03:45	7	34	21	62	3	67
09/02/2015 03:50	4	25	15	44	3	67
09/02/2015 03:55	5	27	15	47	3	67
09/02/2015 04:00	7	39	25	71	3	67
09/02/2015 04:05	12	32	21	65	3	67
09/02/2015 04:10	13	35	21	69	3	67
09/02/2015 04:15	12	32	20	64	3	67
09/02/2015 04:20	12	38	24	74	3	67
09/02/2015 04:25	15	37	25	77	3	67
09/02/2015 04:30	14	43	29	86	3	67
09/02/2015 04:35	19	34	28	81	3	67
09/02/2015 04:40	28	60	46	134	3	67
09/02/2015 04:45	27	54	40	121	3	67
09/02/2015 04:50	30	50	36	116	3	67
09/02/2015 04:55	23	48	36	107	3	67
09/02/2015 05:00	29	59	45	133	3	67
09/02/2015 05:05	29	49	35	113	3	67
09/02/2015 05:10	41	50	37	128	3	67
09/02/2015 05:15	46	84	51	181	3	67
09/02/2015 05:20	51	89	57	197	3	67
09/02/2015 05:25	64	81	61	206	3	67
09/02/2015 05:30	71	101	69	241	3	67
09/02/2015 05:35	62	91	65	218	3	67
09/02/2015 05:40	95	110	72	277	3	67
09/02/2015 05:45	104	102	71	277	3	67
09/02/2015 05:50	88	114	74	276	3	67
09/02/2015 05:55	100	125	72	297	3	67
09/02/2015 06:00	84	109	76	269	3	67
09/02/2015 06:05	93	121	84	298	3	67
09/02/2015 06:10	113	123	77	313	3	67
09/02/2015 06:15	116	127	89	332	3	67
09/02/2015 06:20	171	154	105	430	3	67
09/02/2015 06:25	168	153	98	419	3	67
09/02/2015 06:30	165	156	117	438	3	67
09/02/2015 06:35	172	167	112	451	3	67
09/02/2015 06:40	178	169	119	466	3	67
09/02/2015 06:45	186	164	118	468	3	67
09/02/2015 06:50	174	167	109	450	3	67
09/02/2015 06:55	173	163	105	441	3	67
09/02/2015 07:00	161	159	116	436	3	67
09/02/2015 07:05	154	166	105	425	3	67
09/02/2015 07:10	181	167	123	471	3	67
09/02/2015 07:15	183	174	102	459	3	67
09/02/2015 07:20	154	161	129	444	3	67
09/02/2015 07:25	193	190	127	510	3	67
09/02/2015 07:30	194	160	126	480	3	67
09/02/2015 07:35	179	185	129	493	3	67
09/02/2015 07:40	198	171	114	483	3	67
09/02/2015 07:45	192	172	141	505	3	67
09/02/2015 07:50	206	172	126	504	3	67
09/02/2015 07:55	173	174	122	469	3	67
09/02/2015 08:00	161	176	124	461	3	67
09/02/2015 08:05	172	155	130	457	3	67
09/02/2015 08:10	193	171	149	513	3	67
09/02/2015 08:15	167	159	117	443	3	67
09/02/2015 08:20	176	167	134	477	3	67
09/02/2015 08:25	178	170	110	458	3	67
09/02/2015 08:30	157	162	137	456	3	67
09/02/2015 08:35	160	157	124	441	3	67
09/02/2015 08:40	166	169	126	461	3	67
09/02/2015 08:45	151	157	126	434	3	67
09/02/2015 08:50	155	162	119	436	3	67
09/02/2015 08:55	162	164	122	448	3	67
09/02/2015 09:00	126	135	120	381	3	67
09/02/2015 09:05	146	166	126	438	3	67
09/02/2015 09:10	135	154	123	412	3	67
09/02/2015 09:15	115	142	114	371	3	67
09/02/2015 09:20	132	146	118	396	3	67
09/02/2015 09:25	131	144	129	404	3	67
09/02/2015 09:30	145	149	133	427	3	67
09/02/2015 09:35	159	131	116	406	3	67
09/02/2015 09:40	140	154	114	408	3	67
09/02/2015 09:45	156	150	122	428	3	67
09/02/2015 09:50	137	162	134	433	3	67
09/02/2015 09:55	128	150	111	389	3	67
09/02/2015 10:00	138	144	129	411	3	67
09/02/2015 10:05	128	152	118	398	3	67
09/02/2015 10:10	137	154	134	425	3	67
09/02/2015 10:15	144	157	141	442	3	67
09/02/2015 10:20	142	142	129	413	3	0
09/02/2015 10:25	90	100	107	297	3	67
09/02/2015 10:30	109	137	122	368	3	67
09/02/2015 10:35	121	149	133	403	3	67
09/02/2015 10:40	141	148	132	421	3	67
09/02/2015 10:45	145	149	122	416	3	67
09/02/2015 10:50	144	142	127	413	3	67
09/02/2015 10:55	114	142	127	383	3	67
09/02/2015 11:00	120	157	141	418	3	67
09/02/2015 11:05	129	165	149	443	3	67
09/02/2015 11:10	120	144	129	393	3	67
09/02/2015 11:15	149	164	148	461	3	67
09/02/2015 11:20	151	163	141	455	3	67
09/02/2015 11:25	158	152	136	446	3	67
09/02/2015 11:30	119	145	129	393	3	67
09/02/2015 11:35	130	146	130	406	3	67
09/02/2015 11:40	160	164	148	472	3	67
09/02/2015 11:45	145	163	147	455	3	67
