5 Minutes	Lane 1 Speed (mph)	Lane 2 Speed (mph)	Lane 3 Speed (mph)	Speed (mph)	# Lane Points	% Observed
09/02/2015 00:00	71.9	69.7	59.5	66.2	3	67
09/02/2015 00:05	71.8	71.9	58.9	67.9	3	67
09/02/2015 00:10	71.7	47.9	56.2	55.8	3	67
09/02/2015 00:15	71.7	59.7	56.2	61	3	67
09/02/2015 00:20	71.7	64.9	57.6	63.8	3	67
09/02/2015 00:25	71.8	45.2	56.2	52.1	3	67
09/02/2015 00:30	71.8	57.2	56.2	59	3	67
09/02/2015 00:35	71.8	62.4	56.2	62.1	3	67
09/02/2015 00:40	71.8	38.6	56.2	50.6	3	67
09/02/2015 00:45	71.8	54.8	56.2	58	3	67
09/02/2015 00:50	72	41.7	56.3	51.5	3	67
09/02/2015 00:55	72	57.7	56.3	59.4	3	67
09/02/2015 01:00	72	63.1	56.4	62.4	3	67
09/02/2015 01:05	71.9	59.4	56.2	59.3	3	67
09/02/2015 01:10	71.9	65.5	57.9	63.8	3	67
09/02/2015 01:15	72	68.9	60.1	66.3	3	67
09/02/2015 01:20	72	69.8	60.4	66.6	3	67
09/02/2015 01:25	71.9	69	60.1	66.5	3	67
09/02/2015 01:30	71.9	69.9	58.8	66.2	3	67
09/02/2015 01:35	72.1	71.1	59.1	67.4	3	67
09/02/2015 01:40	72	68.1	59	65.4	3	67
09/02/2015 01:45	71.9	65.5	57.1	63.3	3	67
09/02/2015 01:50	71.9	66.9	56.8	63.6	3	67
09/02/2015 01:55	71.9	69	57.5	66.3	3	67
09/02/2015 02:00	71.9	69.2	58.6	66.3	3	67
09/02/2015 02:05	71.8	69.8	59.1	66.5	3	67
09/02/2015 02:10	71.8	70	59.4	66.3	3	67
09/02/2015 02:15	71.8	70.6	59.3	67.7	3	67
09/02/2015 02:20	71.8	70.1	57.7	63.2	3	67
09/02/2015 02:25	71.6	41.1	56.2	49.5	3	67
09/02/2015 02:30	71.8	55.5	56.2	58.5	3	67
09/02/2015 02:35	71.8	58.8	56.1	59	3	67
09/02/2015 02:40	71.8	41.3	56.1	50.4	3	67
09/02/2015 02:45	71.7	55.8	56.2	57.8	3	67
09/02/2015 02:50	71.8	45.4	56.2	53.2	3	67
09/02/2015 02:55	71.7	47.6	56.1	51.3	3	67
09/02/2015 03:00	71.8	59.1	56.2	59	3	67
09/02/2015 03:05	71.7	64.2	57.1	61.9	3	67
09/02/2015 03:10	71.9	51.1	56.3	56.9	3	67
09/02/2015 03:15	72	60.4	56.3	60.6	3	67
09/02/2015 03:20	72.2	65.1	57.7	63	3	67
09/02/2015 03:25	72.1	68.1	59	64.2	3	67
09/02/2015 03:30	72	67.7	59.3	65	3	67
09/02/2015 03:35	71.9	69.2	58.9	65.4	3	67
09/02/2015 03:40	71.9	68.6	59	64.9	3	67
09/02/2015 03:45	72	46.3	56.2	52.6	3	67
09/02/2015 03:50	71.9	39.5	56.3	48.2	3	67
