5 Minutes	Lane 1 Truck Prop (%)	Lane 2 Truck Prop (%)	Lane 3 Truck Prop (%)	Truck Prop (%)	# Lane Points	% Observed
09/02/2015 09:25	0	1.4	8.8	3.6	3	100
09/02/2015 09:30	0	5.3	14.3	6.7	3	100
09/02/2015 09:35	0	5	11.2	5.3	3	100
09/02/2015 09:40	0	5.6	19.3	7.5	3	100
09/02/2015 09:45	0	5.8	15.7	7.1	3	100
09/02/2015 09:50	0	4.8	15.1	6.4	3	100
09/02/2015 09:55	0	4.6	13.2	6.1	3	100
09/02/2015 10:00	0	5.6	18.1	7.9	3	100
09/02/2015 10:05	0	5.7	18.5	8.3	3	100
09/02/2015 10:10	0	2.4	16.1	6.4	3	100
09/02/2015 10:15	0	4.3	15.2	6.6	3	100
09/02/2015 10:20	0	4.3	16.8	6.9	3	100
09/02/2015 10:25	0	3.4	11.3	5.2	3	100
09/02/2015 10:30	0	5.2	11.9	5.9	3	100
09/02/2015 10:35	0	3.1	9.2	4.4	3	100
09/02/2015 10:40	0	6.3	17.7	8.2	3	100
09/02/2015 10:45	0	3.4	17.5	6.6	3	100
09/02/2015 10:50	0	3.8	17.6	6.9	3	100
09/02/2015 10:55	0	4.5	13.8	6.6	3	100
09/02/2015 11:00	0	3	11.7	5.3	3	100
09/02/2015 11:05	0	4.5	17.3	7.1	3	100
09/02/2015 11:10	0	1.7	11.3	4.4	3	100
09/02/2015 11:15	0	1.5	14.8	5.4	3	100
09/02/2015 11:20	0	4	17.4	7.2	3	100
09/02/2015 11:25	0	7	17.4	7.5	3	100
09/02/2015 11:30	0	2.5	10.2	4.4	3	100
09/02/2015 11:35	0	3.1	9.7	4.4	3	100
09/02/2015 11:40	0	2.6	12.3	5	3	100
09/02/2015 11:45	0	3.1	13.8	6.1	3	100
09/02/2015 11:50	0	1.6	7.8	3.2	3	100
09/02/2015 11:55	0	4.2	13.9	5.8	3	100
09/02/2015 12:00	0	4.9	16.7	7.2	3	100
09/02/2015 12:05	0	5.5	14	6.7	3	100
09/02/2015 12:10	0	4.1	7.6	4	3	100
09/02/2015 12:15	0	4.2	41.7	12.9	3	100
09/02/2015 12:20	0	3.1	15.5	5.5	3	100
09/02/2015 12:25	0	4.2	12.5	5.1	3	100
09/02/2015 12:30	0	10	19.5	9.3	3	100
09/02/2015 12:35	0	5.1	32.3	10.7	3	100
09/02/2015 12:40	0	9.6	14.2	7.1	3	100
09/02/2015 12:45	0	6.7	13.6	6	3	100
09/02/2015 12:50	0	4.1	5.9	3.2	3	100
09/02/2015 12:55	0	10.7	25	10.5	3	100
09/02/2015 13:00	0	7.7	12.7	6.3	3	100
09/02/2015 13:05	0	5.4	20.6	7.3	3	100
09/02/2015 13:10	0	0	0	0	3	100
09/02/2015 13:15	0	0	0	0	3	100
09/02/2015 13:20	0	5.8	15.2	6.1	3	100
09/02/2015 13:25	0	1.5	14.6	4.2	3	100
09/02/2015 13:30	0	7.4	12.5	6.5	3	100
09/02/2015 13:35	0	1.7	13.4	4.2	3	100
09/02/2015 13:40	0	12.2	13.5	7.7	3	100
09/02/2015 13:45	0	0	0	0	3	100
09/02/2015 13:50	0	0	.9	.3	3	100
09/02/2015 13:55	0	0	18.6	4.9	3	100
09/02/2015 14:00	0	2.2	15.9	5.2	3	100
09/02/2015 14:05	0	5.7	13.7	5.8	3	100
09/02/2015 14:10	0	0	4.6	1.3	3	100
09/02/2015 14:15	0	.8	8.7	2.8	3	100
09/02/2015 14:20	0	0	5.1	1.5	3	100
09/02/2015 14:25	0	3.7	10	4.1	3	100
09/02/2015 14:30	0	11.6	0	3.6	3	100
09/02/2015 14:35	0	3.1	7.4	3.3	3	100
09/02/2015 14:40	0	3.1	11.5	4.4	3	100
09/02/2015 14:45	0	.8	1.9	.8	3	100
09/02/2015 14:50	0	0	5.5	1.6	3	100
09/02/2015 14:55	0	5	7.3	3.9	3	100
09/02/2015 15:00	0	3.2	9.8	3.9	3	100
09/02/2015 15:05	0	9.8	0	3.3	3	100
09/02/2015 15:10	0	6.8	4.5	3.6	3	100
09/02/2015 15:15	0	5.4	1.8	2.3	3	100
09/02/2015 15:20	0	8.7	19.6	8.2	3	100
09/02/2015 15:25	0	10.7	20.6	9.2	3	100
09/02/2015 15:30	0	0	0	0	3	100
09/02/2015 15:35	0	0	0	0	3	100
09/02/2015 15:40	0	10.8	20.4	9.3	3	100
09/02/2015 15:45	0	13.6	20.8	10	3	100
09/02/2015 15:50	0	.7	0	.3	3	100
09/02/2015 15:55	0	7.3	13.4	6.3	3	100
09/02/2015 16:00	0	7.1	4.3	3.6	3	100
09/02/2015 16:05	0	0	0	0	3	100
09/02/2015 16:10	0	0	0	0	3	100
09/02/2015 16:15	0	2.9	16.8	5.6	3	100
09/02/2015 16:20	0	.8	4.7	1.7	3	100
09/02/2015 16:25	0	3.6	7.1	3.2	3	100
09/02/2015 16:30	0	4	2.8	2.2	3	100
09/02/2015 16:35	0	5	0	1.7	3	100
09/02/2015 16:40	0	6.2	2.7	2.9	3	100
09/02/2015 16:45	0	0	0	0	3	100
09/02/2015 16:50	0	0	0	0	3	100
09/02/2015 16:55	0	5.2	1	2	3	100
09/02/2015 17:00	0	3.6	0	1.2	3	100
09/02/2015 17:05	0	.8	0	.3	3	100
09/02/2015 17:10	0	8.3	0	2.8	3	100
09/02/2015 17:15	0	.7	4.4	1.6	3	100
09/02/2015 17:20	0	9.3	14.6	7.2	3	100
09/02/2015 17:25	0	10.8	14.9	8.1	3	100
09/02/2015 17:30	0	5.8	0	2	3	100
09/02/2015 17:35	0	11.2	0	3.6	3	100
09/02/2015 17:40	0	0	0	0	3	100
09/02/2015 17:45	0	1.7	0	.6	3	100
09/02/2015 17:50	0	7.6	9	5.3	3	100
09/02/2015 17:55	0	0	0	0	3	100
09/02/2015 18:00	0	0	0	0	3	100
09/02/2015 18:05	0	.8	0	.3	3	100
09/02/2015 18:10	0	3.3	0	1.1	3	100
09/02/2015 18:15	0	5.3	2	2.4	3	100
09/02/2015 18:20	0	2	6.4	2.6	3	100
09/02/2015 18:25	0	3.3	7.1	3.2	3	100
09/02/2015 18:30	0	3.8	7.3	3.4	3	100
09/02/2015 18:35	0	1.6	1.8	1.1	3	100
09/02/2015 18:40	0	1.6	4.9	1.9	3	100
09/02/2015 18:45	0	0	0	0	3	100
09/02/2015 18:50	0	0	0	0	3	100
09/02/2015 18:55	0	0	0	0	3	100
09/02/2015 19:00	0	0	10.9	3.3	3	100
09/02/2015 19:05	0	1.6	9.3	3.3	3	100
09/02/2015 19:10	0	2.3	4.9	2.5	3	100
09/02/2015 19:15	0	1.6	6.4	2.4	3	100
09/02/2015 19:20	0	0	7.7	2.3	3	100
09/02/2015 19:25	0	.9	5.1	1.9	3	100
09/02/2015 19:30	0	4.8	13.3	5.3	3	100
09/02/2015 19:35	0	2.8	11.5	4.4	3	100
09/02/2015 19:40	0	1.8	3.8	1.9	3	100
09/02/2015 19:45	0	4	5.7	3.2	3	100
09/02/2015 19:50	0	3.9	9.2	4.2	3	100
09/02/2015 19:55	0	1.9	12.7	4.1	3	100
09/02/2015 20:00	0	3.4	9.3	3.9	3	100
09/02/2015 20:05	0	1.9	8	2.9	3	100
09/02/2015 20:10	0	3.5	12.2	5	3	100
09/02/2015 20:15	0	2.5	7.7	3.2	3	100
09/02/2015 20:20	0	.9	4.5	1.7	3	100
09/02/2015 20:25	0	.9	3.4	1.4	3	100
09/02/2015 20:30	0	1.9	8.2	3.4	3	100
09/02/2015 20:35	0	1.9	5.6	2.6	3	100
09/02/2015 20:40	0	2.7	8.1	3.6	3	100
09/02/2015 20:45	0	0	6.9	2.3	3	100
09/02/2015 20:50	0	2	5.6	2.6	3	100
09/02/2015 20:55	0	0	4.8	1.5	3	100
09/02/2015 21:00	0	0	9.5	2.9	3	100
09/02/2015 21:05	0	1.9	8.5	3.2	3	100
09/02/2015 21:10	0	2	12.7	4.5	3	100
09/02/2015 21:15	0	1.8	8.1	3.1	3	100
09/02/2015 21:20	0	0	8.1	2.6	3	100
09/02/2015 21:25	0	1.1	9.9	3.5	3	100
09/02/2015 21:30	0	3.4	6.8	3.6	3	100
09/02/2015 21:35	0	2.2	11.8	4.6	3	100
09/02/2015 21:40	0	2.6	8.3	3.6	3	100
09/02/2015 21:45	0	1.3	10.9	3.6	3	100
09/02/2015 21:50	0	1.3	8.9	3.8	3	100
09/02/2015 21:55	0	5	10.6	5.1	3	100
09/02/2015 22:00	0	5.2	14.1	7.2	3	100
09/02/2015 22:05	0	0	9.3	2.6	3	100
09/02/2015 22:10	0	4.1	5.7	3.4	3	100
09/02/2015 22:15	0	0	11.3	3.8	3	100
09/02/2015 22:20	0	3.6	22.4	7.8	3	100
09/02/2015 22:25	0	4.6	13.7	6.2	3	100
09/02/2015 22:30	0	0	14	5.5	3	100
09/02/2015 22:35	0	3.4	10.6	5	3	100
09/02/2015 22:40	0	1.6	4.4	2.1	3	100
09/02/2015 22:45	0	2.9	13.6	5.4	3	100
09/02/2015 22:50	0	3.8	9.7	5.8	3	100
09/02/2015 22:55	0	3.8	12.2	6.2	3	100
09/02/2015 23:00	0	0	6.7	2.8	3	100
09/02/2015 23:05	0	4	8.5	4.8	3	100
09/02/2015 23:10	0	10.9	25.5	14.1	3	100
09/02/2015 23:15	0	2.4	7.9	4	3	100
09/02/2015 23:20	0	0	18.6	7.1	3	100
09/02/2015 23:25	0	4	14	7.1	3	100
09/02/2015 23:30	0	0	2.5	1.1	3	100
09/02/2015 23:35	0	3.3	17.2	7.5	3	100
09/02/2015 23:40	0	11.6	27.3	14.3	3	100
09/02/2015 23:45	0	0	0	0	3	100
09/02/2015 23:50	0	5.9	12.5	8.1	3	100
09/02/2015 23:55	0	0	5.3	1.6	3	100
