5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
09/03/2015 00:00	15	45	24	84	3	100
09/03/2015 00:05	22	39	32	93	3	100
09/03/2015 00:10	21	35	22	78	3	100
09/03/2015 00:15	16	36	28	80	3	100
09/03/2015 00:20	18	45	22	85	3	100
09/03/2015 00:25	13	43	17	73	3	100
09/03/2015 00:30	11	30	24	65	3	100
09/03/2015 00:35	12	34	28	74	3	100
09/03/2015 00:40	16	43	23	82	3	100
09/03/2015 00:45	10	27	15	52	3	100
09/03/2015 00:50	10	22	23	55	3	100
09/03/2015 00:55	8	28	10	46	3	100
09/03/2015 01:00	9	27	17	53	3	100
09/03/2015 01:05	13	24	24	61	3	100
09/03/2015 01:10	10	23	16	49	3	100
09/03/2015 01:15	8	28	14	50	3	100
09/03/2015 01:20	11	25	17	53	3	100
09/03/2015 01:25	9	27	13	49	3	100
09/03/2015 01:30	6	18	14	38	3	100
09/03/2015 01:35	8	25	14	47	3	100
09/03/2015 01:40	8	22	13	43	3	100
09/03/2015 01:45	5	20	15	40	3	100
09/03/2015 01:50	4	28	16	48	3	100
09/03/2015 01:55	5	20	13	38	3	100
09/03/2015 02:00	1	22	8	31	3	100
09/03/2015 02:05	9	21	15	45	3	100
09/03/2015 02:10	5	19	5	29	3	100
09/03/2015 02:15	2	24	7	33	3	100
09/03/2015 02:20	7	15	9	31	3	100
09/03/2015 02:25	5	13	13	31	3	100
09/03/2015 02:30	9	22	9	40	3	100
09/03/2015 02:35	5	19	11	35	3	100
09/03/2015 02:40	6	16	17	39	3	100
09/03/2015 02:45	3	14	19	36	3	100
09/03/2015 02:50	5	17	9	31	3	100
09/03/2015 02:55	4	20	10	34	3	100
09/03/2015 03:00	4	22	12	38	3	100
09/03/2015 03:05	8	16	11	35	3	100
09/03/2015 03:10	0	17	10	27	3	100
09/03/2015 03:15	5	21	14	40	3	100
09/03/2015 03:20	4	22	12	38	3	100
09/03/2015 03:25	6	27	19	52	3	100
09/03/2015 03:30	6	17	19	42	3	100
09/03/2015 03:35	9	22	16	47	3	100
09/03/2015 03:40	7	27	16	50	3	100
09/03/2015 03:45	3	26	24	53	3	100
09/03/2015 03:50	8	26	25	59	3	100
09/03/2015 03:55	8	26	22	56	3	100
09/03/2015 04:00	4	21	11	36	3	100
09/03/2015 04:05	6	22	16	44	3	100
09/03/2015 04:10	10	28	20	58	3	100
09/03/2015 04:15	11	29	23	63	3	100
09/03/2015 04:20	16	34	21	71	3	100
09/03/2015 04:25	20	43	18	81	3	100
09/03/2015 04:30	12	38	27	77	3	100
09/03/2015 04:35	28	42	23	93	3	100
09/03/2015 04:40	26	35	35	96	3	100
09/03/2015 04:45	32	46	37	115	3	100
09/03/2015 04:50	29	38	33	100	3	100
09/03/2015 04:55	25	43	34	102	3	100
09/03/2015 05:00	20	46	34	100	3	100
09/03/2015 05:05	34	54	29	117	3	100
09/03/2015 05:10	43	64	43	150	3	100
09/03/2015 05:15	56	68	51	175	3	100
09/03/2015 05:20	54	68	48	170	3	100
09/03/2015 05:25	49	66	59	174	3	100
