5 Minutes	Lane 1 Speed (mph)	Lane 2 Speed (mph)	Lane 3 Speed (mph)	Speed (mph)	# Lane Points	% Observed
09/03/2015 00:00	71.9	69.7	62.7	68.1	3	100
09/03/2015 00:05	72	63	65.4	66	3	100
09/03/2015 00:10	71.9	62.8	64.4	65.7	3	100
09/03/2015 00:15	72	66	61.8	65.7	3	100
09/03/2015 00:20	71.8	69.5	63.6	68.5	3	100
09/03/2015 00:25	72	67.4	62.2	67	3	100
09/03/2015 00:30	71.9	67.6	64.5	67.2	3	100
09/03/2015 00:35	71.9	66.1	63.2	65.9	3	100
09/03/2015 00:40	71.8	68.3	64.6	67.9	3	100
09/03/2015 00:45	72.3	68.8	64.6	68.3	3	100
09/03/2015 00:50	72.1	69.5	64.7	68	3	100
09/03/2015 00:55	71.9	68	63.6	67.7	3	100
09/03/2015 01:00	71.8	69.7	64.1	68.3	3	100
09/03/2015 01:05	71.8	69.5	63.2	67.5	3	100
09/03/2015 01:10	71.9	70.4	63.5	68.5	3	100
09/03/2015 01:15	71.8	71	63.6	69.1	3	100
09/03/2015 01:20	71.9	70.9	63.5	68.7	3	100
09/03/2015 01:25	71.8	71.2	60	68.3	3	100
09/03/2015 01:30	71.8	69.9	56.9	65.4	3	100
09/03/2015 01:35	71.8	69.7	59	66.9	3	100
09/03/2015 01:40	71.8	70.3	60.5	67.6	3	100
09/03/2015 01:45	71.8	70	60.3	66.6	3	100
09/03/2015 01:50	71.8	70	60	66.8	3	100
09/03/2015 01:55	71.8	69.4	61.6	67	3	100
09/03/2015 02:00	71.7	69.3	59.6	66.9	3	100
09/03/2015 02:05	71.9	68.5	61.2	66.7	3	100
09/03/2015 02:10	71.9	68.8	60.9	68	3	100
09/03/2015 02:15	72	68.6	60.8	67.2	3	100
09/03/2015 02:20	72	69.5	61.2	67.7	3	100
09/03/2015 02:25	71.8	69.1	60.3	65.8	3	100
09/03/2015 02:30	71.8	68.9	60.3	67.6	3	100
09/03/2015 02:35	71.9	69.3	61.1	67.1	3	100
09/03/2015 02:40	71.9	69.9	62.2	66.9	3	100
09/03/2015 02:45	72.1	70.2	62.9	66.5	3	100
09/03/2015 02:50	72	69.3	60.9	67.3	3	100
09/03/2015 02:55	71.9	67.1	62.5	66.3	3	100
09/03/2015 03:00	71.8	68.3	60.6	66.2	3	100
09/03/2015 03:05	71.4	68	61.3	66.7	3	100
09/03/2015 03:10	71.4	68.5	62.2	66.2	3	100
09/03/2015 03:15	71.7	68.6	58.2	65.3	3	100
09/03/2015 03:20	71.6	69	60.7	66.7	3	100
09/03/2015 03:25	71.9	69.1	61.7	66.7	3	100
09/03/2015 03:30	71.7	68.8	60.7	65.5	3	100
