5 Minutes	Lane 1 Truck Prop (%)	Lane 2 Truck Prop (%)	Lane 3 Truck Prop (%)	Truck Prop (%)	# Lane Points	% Observed
09/03/2015 05:35	0	4	18.5	7	3	100
09/03/2015 05:40	0	3.3	10.7	5	3	100
09/03/2015 05:45	0	3.1	11.8	4.9	3	100
09/03/2015 05:50	0	3	10.6	4.5	3	100
09/03/2015 05:55	0	4	12	5.1	3	100
09/03/2015 06:00	0	4.7	5.5	3.6	3	100
09/03/2015 06:05	0	4.9	18.3	7.1	3	100
09/03/2015 06:10	0	5.1	11.9	5.7	3	100
09/03/2015 06:15	0	3.9	9.6	4.1	3	100
09/03/2015 06:20	0	3.4	10.2	4.2	3	100
09/03/2015 06:25	0	4.1	12.6	5.2	3	100
09/03/2015 06:30	0	3.1	6.2	2.9	3	100
09/03/2015 06:35	0	2.6	7.4	3.3	3	100
09/03/2015 06:40	0	3.4	5.4	2.7	3	100
09/03/2015 06:45	0	30.8	9.4	14	3	100
09/03/2015 06:50	0	2.7	8.7	3.6	3	100
09/03/2015 06:55	0	3.4	8.1	3.6	3	100
09/03/2015 07:00	0	2.6	6.5	2.8	3	100
09/03/2015 07:05	0	3.9	6.5	3.5	3	100
09/03/2015 07:10	0	2	7.4	2.9	3	100
09/03/2015 07:15	0	2.5	8.5	3.2	3	100
09/03/2015 07:20	0	2.5	8.6	3.4	3	100
09/03/2015 07:25	0	2.2	5.8	2.5	3	100
09/03/2015 07:30	0	2.3	9	3.4	3	100
09/03/2015 07:35	0	5.4	5.8	3.6	3	100
09/03/2015 07:40	0	3	10.5	4	3	100
09/03/2015 07:45	0	3.2	10.2	4.1	3	100
09/03/2015 07:50	0	3.1	7.6	3.1	3	100
09/03/2015 07:55	0	6.2	7	4.3	3	100
09/03/2015 08:00	0	3.7	7.9	3.9	3	100
09/03/2015 08:05	0	5.2	13.9	5.9	3	100
09/03/2015 08:10	0	3.2	6.1	2.9	3	100
09/03/2015 08:15	0	5.4	12	5.4	3	100
09/03/2015 08:20	0	4.4	7.9	3.8	3	100
09/03/2015 08:25	0	3.8	12.4	5.1	3	100
09/03/2015 08:30	0	3.7	14.1	5.8	3	100
09/03/2015 08:35	0	5.3	13.1	5.9	3	100
09/03/2015 08:40	0	4.2	9.4	4.4	3	100
09/03/2015 08:45	0	1.2	10.6	3.7	3	100
09/03/2015 08:50	0	2.6	9.6	4	3	100
09/03/2015 08:55	0	3.5	12.6	5.2	3	100
09/03/2015 09:00	0	6.1	15.2	6.9	3	100
09/03/2015 09:05	0	2.5	11.3	4.9	3	100
09/03/2015 09:10	0	4.5	9.4	4.7	3	100
09/03/2015 09:15	0	6.8	18	8.5	3	100
09/03/2015 09:20	0	4.5	16.7	6.8	3	100
09/03/2015 09:25	0	6.1	13.4	7.2	3	100
09/03/2015 09:30	0	3.4	13	5.6	3	100
09/03/2015 09:35	0	2.8	9.5	4.1	3	100
09/03/2015 09:40	0	5.9	11.4	5.6	3	100
09/03/2015 09:45	0	4.8	13.1	6.2	3	100
09/03/2015 09:50	0	4.5	14.2	6.7	3	100
09/03/2015 09:55	0	3.1	9.8	4.5	3	100
09/03/2015 10:00	0	5	10.6	5.2	3	100
09/03/2015 10:05	0	5.3	17.4	7.7	3	100
09/03/2015 10:10	0	5	12.7	6.2	3	100
09/03/2015 10:15	0	5.1	17.6	7.7	3	100
09/03/2015 10:20	0	3.2	21.4	8.2	3	100
09/03/2015 10:25	0	1.6	14.4	5.5	3	100
09/03/2015 10:30	0	4.9	20.2	8.2	3	100
09/03/2015 10:35	0	3.6	14.9	6.3	3	100
09/03/2015 10:40	0	2	16	5.7	3	100
09/03/2015 10:45	0	2.1	12.1	4.5	3	100
09/03/2015 10:50	0	5.8	22.5	9.1	3	100
09/03/2015 10:55	0	7.5	14.2	7.2	3	100
09/03/2015 11:00	0	6.7	9.7	5.8	3	100
09/03/2015 11:05	0	7	15.9	7.6	3	100
09/03/2015 11:10	0	5.3	17.1	7.7	3	100
09/03/2015 11:15	0	2.8	8.5	3.8	3	100
09/03/2015 11:20	0	2.1	11.4	4.5	3	100
09/03/2015 11:25	0	4.6	16.5	7.1	3	100
09/03/2015 11:30	0	4.8	12.5	5.4	3	100
09/03/2015 11:35	0	4.2	16	6.9	3	100
09/03/2015 11:40	0	4.5	16.8	6.6	3	100
09/03/2015 11:45	0	2.1	15.7	5.8	3	100
09/03/2015 11:50	0	3.8	10.3	4.8	3	100
09/03/2015 11:55	0	4.3	13.2	6	3	100
09/03/2015 12:00	0	3.1	14.2	6	3	100
09/03/2015 12:05	0	0	7.4	2.6	3	100
09/03/2015 12:10	0	1.9	13.9	5	3	100
09/03/2015 12:15	0	6.2	15	7	3	100
09/03/2015 12:20	0	1.6	16.9	6.1	3	100
09/03/2015 12:25	0	13.7	19.2	10.5	3	100
09/03/2015 12:30	0	6.9	19.1	7.8	3	100
09/03/2015 12:35	0	.8	23.9	6.2	3	100
09/03/2015 12:40	0	7.5	6.2	4.3	3	100
09/03/2015 12:45	0	2.4	12.6	4.2	3	100
09/03/2015 12:50	0	3.8	15.8	5.6	3	100
09/03/2015 12:55	0	3.1	10.9	4.1	3	100
09/03/2015 13:00	0	9.2	37.4	12.6	3	100
09/03/2015 13:05	0	0	0	0	3	100
09/03/2015 13:10	0	10.1	21	9.3	3	100
09/03/2015 13:15	0	6.3	3	3	3	100
09/03/2015 13:20	0	7.5	26	9.9	3	100
09/03/2015 13:25	0	9.4	19	8.4	3	100
09/03/2015 13:30	0	11.1	11.6	7.1	3	100
09/03/2015 13:35	0	0	3.2	.9	3	100
