5 Minutes	Lane 1 Flow (Veh/5 Minutes)	Lane 2 Flow (Veh/5 Minutes)	Lane 3 Flow (Veh/5 Minutes)	Flow (Veh/5 Minutes)	# Lane Points	% Observed
09/03/2015 00:00	12	46	32	90	3	67
09/03/2015 00:05	21	50	36	107	3	67
09/03/2015 00:10	11	40	26	77	3	67
09/03/2015 00:15	17	40	33	90	3	67
09/03/2015 00:20	16	49	35	100	3	67
09/03/2015 00:25	11	38	24	73	3	67
09/03/2015 00:30	13	32	18	63	3	67
09/03/2015 00:35	11	39	25	75	3	67
09/03/2015 00:40	12	45	31	88	3	67
09/03/2015 00:45	7	30	16	53	3	67
09/03/2015 00:50	8	21	19	48	3	67
09/03/2015 00:55	9	26	14	49	3	67
09/03/2015 01:00	7	31	20	58	3	67
09/03/2015 01:05	4	40	26	70	3	67
09/03/2015 01:10	11	20	12	43	3	67
09/03/2015 01:15	7	31	21	59	3	67
09/03/2015 01:20	8	28	19	55	3	67
09/03/2015 01:25	9	29	20	58	3	67
09/03/2015 01:30	5	17	9	31	3	67
09/03/2015 01:35	6	28	14	48	3	67
09/03/2015 01:40	8	19	13	40	3	67
09/03/2015 01:45	7	24	13	44	3	67
09/03/2015 01:50	2	30	20	52	3	67
09/03/2015 01:55	3	16	12	31	3	67
09/03/2015 02:00	1	25	11	37	3	67
09/03/2015 02:05	6	25	11	42	3	67
09/03/2015 02:10	6	20	16	42	3	67
09/03/2015 02:15	2	22	8	32	3	67
09/03/2015 02:20	4	17	7	28	3	67
09/03/2015 02:25	7	16	16	39	3	67
09/03/2015 02:30	7	23	13	43	3	67
09/03/2015 02:35	3	24	16	43	3	67
09/03/2015 02:40	4	19	17	40	3	67
09/03/2015 02:45	3	14	12	29	3	67
09/03/2015 02:50	2	21	10	33	3	67
09/03/2015 02:55	4	19	12	35	3	67
09/03/2015 03:00	4	25	12	41	3	67
09/03/2015 03:05	6	17	7	30	3	67
09/03/2015 03:10	1	16	14	31	3	67
09/03/2015 03:15	3	27	18	48	3	67
09/03/2015 03:20	3	20	12	35	3	67
09/03/2015 03:25	4	25	19	48	3	67
09/03/2015 03:30	6	21	17	44	3	67
09/03/2015 03:35	9	23	15	47	3	67
09/03/2015 03:40	7	20	17	44	3	67
09/03/2015 03:45	5	29	24	58	3	67
09/03/2015 03:50	5	28	23	56	3	67
09/03/2015 03:55	7	29	22	58	3	67
09/03/2015 04:00	4	24	10	38	3	67
09/03/2015 04:05	5	26	19	50	3	67
09/03/2015 04:10	12	32	21	65	3	67
09/03/2015 04:15	14	28	23	65	3	67
09/03/2015 04:20	12	40	26	78	3	67
09/03/2015 04:25	17	42	28	87	3	67
09/03/2015 04:30	10	43	29	82	3	67
09/03/2015 04:35	26	50	36	112	3	67
09/03/2015 04:40	23	46	36	105	3	67
09/03/2015 04:45	21	58	44	123	3	67
09/03/2015 04:50	28	44	30	102	3	67
09/03/2015 04:55	20	58	44	122	3	67
09/03/2015 05:00	26	56	42	124	3	67
09/03/2015 05:05	27	56	42	125	3	67
09/03/2015 05:10	37	69	54	160	3	67
09/03/2015 05:15	61	79	46	186	3	67
09/03/2015 05:20	53	82	50	185	3	67
09/03/2015 05:25	53	79	61	193	3	67
09/03/2015 05:30	53	82	67	202	3	67
09/03/2015 05:35	71	100	69	240	3	67
09/03/2015 05:40	75	102	75	252	3	67
09/03/2015 05:45	111	115	84	310	3	67
09/03/2015 05:50	97	129	78	304	3	67
09/03/2015 05:55	87	123	73	283	3	67
09/03/2015 06:00	90	109	69	268	3	67
09/03/2015 06:05	88	117	95	300	3	67
09/03/2015 06:10	118	124	103	345	3	67
09/03/2015 06:15	141	142	89	372	3	67
09/03/2015 06:20	131	150	91	372	3	67
09/03/2015 06:25	142	151	102	395	3	67
09/03/2015 06:30	174	173	116	463	3	67
09/03/2015 06:35	152	158	116	426	3	67
09/03/2015 06:40	206	169	121	496	3	67
09/03/2015 06:45	183	162	128	473	3	67
09/03/2015 06:50	171	158	118	447	3	67
09/03/2015 06:55	167	167	129	463	3	67
09/03/2015 07:00	181	162	116	459	3	67
09/03/2015 07:05	140	152	118	410	3	67
09/03/2015 07:10	194	166	111	471	3	67
09/03/2015 07:15	214	181	122	517	3	67
09/03/2015 07:20	179	168	130	477	3	67
09/03/2015 07:25	185	185	133	503	3	67
09/03/2015 07:30	199	181	133	513	3	67
