5 Minutes	Lane 1 Truck Prop (%)	Lane 2 Truck Prop (%)	Lane 3 Truck Prop (%)	Truck Prop (%)	# Lane Points	% Observed
09/03/2015 00:00	0	26.1	50	31.1	3	67
09/03/2015 00:05	0	12	50	22.4	3	67
09/03/2015 00:10	0	2.5	50	18.2	3	67
09/03/2015 00:15	0	10	48.5	22.2	3	67
09/03/2015 00:20	0	49	48.6	41	3	67
09/03/2015 00:25	0	5.3	50	19.2	3	67
09/03/2015 00:30	0	0	50	14.3	3	67
09/03/2015 00:35	0	5.1	48	18.7	3	67
09/03/2015 00:40	0	28.9	48.4	31.8	3	67
09/03/2015 00:45	0	13.3	50	22.6	3	67
09/03/2015 00:50	0	0	47.4	18.8	3	67
09/03/2015 00:55	0	11.5	50	20.4	3	67
09/03/2015 01:00	0	32.3	50	34.5	3	67
09/03/2015 01:05	0	27.5	50	34.3	3	67
09/03/2015 01:10	0	0	50	14	3	67
09/03/2015 01:15	0	3.2	47.6	18.6	3	67
09/03/2015 01:20	0	10.7	47.4	21.8	3	67
09/03/2015 01:25	0	0	50	17.2	3	67
09/03/2015 01:30	0	47.1	44.4	38.7	3	67
09/03/2015 01:35	0	7.1	50	18.8	3	67
09/03/2015 01:40	0	0	46.2	15	3	67
09/03/2015 01:45	0	4.2	46.2	15.9	3	67
09/03/2015 01:50	0	50	50	48.1	3	67
09/03/2015 01:55	0	6.3	50	22.6	3	67
09/03/2015 02:00	0	48	45.5	45.9	3	67
09/03/2015 02:05	0	48	45.5	40.5	3	67
09/03/2015 02:10	0	50	50	42.9	3	67
09/03/2015 02:15	0	13.6	50	21.9	3	67
09/03/2015 02:20	0	0	42.9	10.7	3	67
09/03/2015 02:25	0	6.3	50	23.1	3	67
09/03/2015 02:30	0	47.8	46.2	39.5	3	67
09/03/2015 02:35	0	50	50	46.5	3	67
09/03/2015 02:40	0	47.4	47.1	42.5	3	67
09/03/2015 02:45	0	0	50	20.7	3	67
09/03/2015 02:50	0	33.3	50	36.4	3	67
09/03/2015 02:55	0	15.8	50	25.7	3	67
09/03/2015 03:00	0	0	50	14.6	3	67
09/03/2015 03:05	0	47.1	42.9	36.7	3	67
09/03/2015 03:10	0	6.3	50	25.8	3	67
09/03/2015 03:15	0	48.1	50	45.8	3	67
09/03/2015 03:20	0	50	50	45.7	3	67
09/03/2015 03:25	0	8	47.4	22.9	3	67
09/03/2015 03:30	0	4.8	47.1	20.5	3	67
09/03/2015 03:35	0	47.8	46.7	38.3	3	67
09/03/2015 03:40	0	5	47.1	20.5	3	67
09/03/2015 03:45	0	3.4	50	22.4	3	67
09/03/2015 03:50	0	50	47.8	44.6	3	67
09/03/2015 03:55	0	3.4	50	20.7	3	67
09/03/2015 04:00	0	0	50	13.2	3	67
09/03/2015 04:05	0	0	47.4	18	3	67
09/03/2015 04:10	0	50	47.6	40	3	67
09/03/2015 04:15	0	7.1	47.8	20	3	67
09/03/2015 04:20	0	27.5	50	30.8	3	67
09/03/2015 04:25	0	9.5	50	20.7	3	67
09/03/2015 04:30	0	11.6	48.3	23.2	3	67
09/03/2015 04:35	0	50	50	38.4	3	67
09/03/2015 04:40	0	50	50	39	3	67
09/03/2015 04:45	0	10.3	43.2	20.3	3	67
09/03/2015 04:50	0	4.5	50	16.7	3	67
09/03/2015 04:55	0	5.2	38.6	16.4	3	67
09/03/2015 05:00	0	50	50	39.5	3	67
09/03/2015 05:05	0	14.3	47.6	22.4	3	67
09/03/2015 05:10	0	1.4	27.8	10	3	67
09/03/2015 05:15	0	31.6	50	25.8	3	67
09/03/2015 05:20	0	11	50	18.4	3	67
09/03/2015 05:25	0	41.8	49.2	32.6	3	67
09/03/2015 05:30	0	2.4	19.4	7.4	3	67
09/03/2015 05:35	0	11	42	16.7	3	67
09/03/2015 05:40	0	7.8	33.3	13.1	3	67
09/03/2015 05:45	0	14.8	32.1	14.2	3	67
09/03/2015 05:50	0	10.9	35.9	13.8	3	67
09/03/2015 05:55	0	3.3	34.2	10.2	3	67
09/03/2015 06:00	0	9.2	42	14.6	3	67
09/03/2015 06:05	0	15.4	21.1	12.7	3	67
09/03/2015 06:10	0	12.1	27.2	12.5	3	67
09/03/2015 06:15	0	2.1	32.6	8.6	3	67
09/03/2015 06:20	0	2.7	29.7	8.3	3	67
09/03/2015 06:25	0	2	27.5	7.8	3	67
09/03/2015 06:30	0	0	0	0	3	67
09/03/2015 06:35	0	2.5	23.3	7.3	3	67
09/03/2015 06:40	0	3	20.7	6	3	67
09/03/2015 06:45	0	4.3	20.3	7	3	67
09/03/2015 06:50	0	3.8	22	7.2	3	67
09/03/2015 06:55	0	3.6	23.3	7.8	3	67
09/03/2015 07:00	0	2.5	22.4	6.5	3	67
09/03/2015 07:05	0	5.3	19.5	7.6	3	67
09/03/2015 07:10	0	9.6	22.5	8.7	3	67
09/03/2015 07:15	0	7.7	19.7	7.4	3	67
09/03/2015 07:20	0	3	16.2	5.5	3	67
09/03/2015 07:25	0	2.7	16.5	5.4	3	67
09/03/2015 07:30	0	3.9	18	6	3	67
09/03/2015 07:35	0	3.7	16.2	5.4	3	67
09/03/2015 07:40	0	5.6	21.8	7.3	3	67
09/03/2015 07:45	0	0	0	0	3	67
09/03/2015 07:50	0	1.7	12.7	3.9	3	67
09/03/2015 07:55	0	4.2	14.6	5.6	3	67
09/03/2015 08:00	0	2.4	18.3	6.1	3	67
09/03/2015 08:05	0	10.4	27.1	10.5	3	67
09/03/2015 08:10	0	2.9	18.9	6.2	3	67
09/03/2015 08:15	0	5.3	22	7.4	3	67
09/03/2015 08:20	0	5.3	7.5	4.1	3	67
09/03/2015 08:25	0	12.4	17.5	9.1	3	67
09/03/2015 08:30	0	6.5	20	8.4	3	67
09/03/2015 08:35	0	6.9	23	8.8	3	67
09/03/2015 08:40	0	9.9	11.7	6.9	3	67
09/03/2015 08:45	0	2.8	21.6	6.9	3	67
09/03/2015 08:50	0	0	0	0	3	67
09/03/2015 08:55	0	9.1	28.8	11.1	3	67
09/03/2015 09:00	0	20.5	11.9	11	3	67
09/03/2015 09:05	0	30.7	13.6	16	3	67
09/03/2015 09:10	0	22.9	13.6	12	3	67
09/03/2015 09:15	0	23.1	27.2	16.3	3	67
09/03/2015 09:20	0	5.7	18.9	7.5	3	67
09/03/2015 09:25	0	14.1	14.2	9.7	3	67
09/03/2015 09:30	0	8.9	11.2	6.9	3	67
09/03/2015 09:35	0	2.8	17.8	6	3	67
09/03/2015 09:40	0	6.3	12.7	6.1	3	67
09/03/2015 09:45	0	8	17.5	8	3	67
09/03/2015 09:50	0	8.6	16.2	8.1	3	67
09/03/2015 09:55	0	2.6	12.9	5.2	3	67
09/03/2015 10:00	0	6.1	16.1	6.9	3	67
09/03/2015 10:05	0	15.9	19	11.5	3	67
