5 Minutes	Lane 1 Truck Prop (%)	Lane 2 Truck Prop (%)	Lane 3 Truck Prop (%)	Lane 4 Truck Prop (%)	Lane 5 Truck Prop (%)	Truck Prop (%)	# Lane Points	% Observed
09/03/2015 08:35	0	0	21.1	32.1	0	9.6	5	80
09/03/2015 08:40	0	0	19	50	0	8.8	5	80
09/03/2015 08:45	0	0	25.4	45.5	0	10.5	5	80
09/03/2015 08:50	0	0	19.7	50	0	10.8	5	80
09/03/2015 08:55	0	0	25.6	50	0	11.1	5	80
09/03/2015 09:00	0	0	26.3	50	0	10.6	5	80
09/03/2015 09:05	0	0	25.7	47.8	0	10	5	80
09/03/2015 09:10	0	0	13.8	50	0	8.2	5	80
09/03/2015 09:15	0	0	20.3	30.4	0	7.6	5	80
09/03/2015 09:20	0	0	27.3	47.8	0	9.9	5	80
09/03/2015 09:25	0	0	18.5	48	0	8.1	5	80
09/03/2015 09:30	0	0	24.8	48.7	0	10.5	5	80
09/03/2015 09:35	0	0	20	48.1	0	9	5	80
09/03/2015 09:40	0	0	19.2	49	0	10.5	5	80
09/03/2015 09:45	0	0	26.4	48	0	10.1	5	80
09/03/2015 09:50	0	0	23.5	48.6	0	10.4	5	80
09/03/2015 09:55	0	0	24.6	50	0	11.4	5	80
09/03/2015 10:00	0	0	17.4	48.7	0	9.4	5	80
09/03/2015 10:05	0	0	24.3	48.8	0	11.8	5	80
09/03/2015 10:10	0	0	33.3	48.8	0	13.9	5	80
09/03/2015 10:15	0	0	24.5	48.3	0	9.9	5	80
09/03/2015 10:20	0	0	43.2	47.6	0	14.4	5	80
09/03/2015 10:25	0	0	28.4	48.8	0	12.6	5	80
09/03/2015 10:30	0	0	29.6	48.8	0	12.1	5	80
09/03/2015 10:35	0	0	26.7	48.4	0	10	5	80
09/03/2015 10:40	0	0	27.6	48.6	0	11.5	5	80
09/03/2015 10:45	0	0	25.5	48.7	0	10.8	5	80
09/03/2015 10:50	0	0	27.7	48.6	0	10.7	5	80
09/03/2015 10:55	0	0	26.3	50	0	12.7	5	80
09/03/2015 11:00	0	0	16.7	50	0	8.2	5	80
09/03/2015 11:05	0	0	22.5	48.6	0	9.6	5	80
09/03/2015 11:10	0	0	26.2	42.2	0	11	5	80
09/03/2015 11:15	0	0	22.5	50	0	10.3	5	80
09/03/2015 11:20	0	0	27.4	8.1	0	7.8	5	80
09/03/2015 11:25	0	0	20.2	15.6	0	6.1	5	80
09/03/2015 11:30	0	0	18.4	42.9	0	7.4	5	80
09/03/2015 11:35	0	0	28.2	23	0	9.7	5	80
09/03/2015 11:40	0	0	29.8	48.7	0	11	5	80
09/03/2015 11:45	0	0	33.3	14	0	9.1	5	80
09/03/2015 11:50	0	0	15.7	41.2	0	8.9	5	80
09/03/2015 11:55	0	0	22.2	48.9	0	10.8	5	80
09/03/2015 12:00	0	0	26.1	14.1	0	8.4	5	80
09/03/2015 12:05	0	0	21	48.8	0	10.5	5	80
09/03/2015 12:10	0	0	28.4	48.6	0	10.9	5	80
09/03/2015 12:15	0	0	22.9	50	0	10.8	5	80
09/03/2015 12:20	0	0	29.3	48.8	0	12.1	5	80
09/03/2015 12:25	0	0	23.8	0	0	6.1	5	80
09/03/2015 12:30	0	0	20.9	0	0	4.8	5	80
09/03/2015 12:35	0	0	49.4	0	0	10.4	5	80
09/03/2015 12:40	0	0	18.9	0	0	4.6	5	80
09/03/2015 12:45	0	0	41.8	0	0	9.2	5	80
09/03/2015 12:50	0	0	31.4	0	0	7.4	5	80
09/03/2015 12:55	0	0	35.4	0	0	8.1	5	80
