5 Minutes	Lane 1 Truck Prop (%)	Lane 2 Truck Prop (%)	Lane 3 Truck Prop (%)	Truck Prop (%)	# Lane Points	% Observed
09/03/2015 00:00	0	6.7	37.5	14.3	3	100
09/03/2015 00:05	0	17.9	15.6	12.9	3	100
09/03/2015 00:10	0	11.4	18.2	10.3	3	100
09/03/2015 00:15	0	5.6	28.6	12.5	3	100
09/03/2015 00:20	0	0	13.6	3.5	3	100
09/03/2015 00:25	0	11.6	35.3	15.1	3	100
09/03/2015 00:30	0	6.7	8.3	6.2	3	100
09/03/2015 00:35	0	8.8	21.4	12.2	3	100
09/03/2015 00:40	0	2.3	8.7	3.7	3	100
09/03/2015 00:45	0	18.5	20	15.4	3	100
09/03/2015 00:50	0	0	13	5.5	3	100
09/03/2015 00:55	0	7.1	20	8.7	3	100
09/03/2015 01:00	0	0	11.8	3.8	3	100
09/03/2015 01:05	0	4.2	20.8	9.8	3	100
09/03/2015 01:10	0	0	18.8	6.1	3	100
09/03/2015 01:15	0	0	14.3	4	3	100
09/03/2015 01:20	0	4	17.6	7.5	3	100
09/03/2015 01:25	0	0	46.2	12.2	3	100
09/03/2015 01:30	0	5.6	50	21.1	3	100
09/03/2015 01:35	0	4	28.6	10.6	3	100
09/03/2015 01:40	0	0	23.1	7	3	100
09/03/2015 01:45	0	5	33.3	15	3	100
09/03/2015 01:50	0	3.6	31.3	12.5	3	100
09/03/2015 01:55	0	5	15.4	7.9	3	100
09/03/2015 02:00	0	0	50	12.9	3	100
09/03/2015 02:05	0	14.3	26.7	15.6	3	100
09/03/2015 02:10	0	5.3	40	10.3	3	100
09/03/2015 02:15	0	12.5	42.9	18.2	3	100
09/03/2015 02:20	0	0	33.3	9.7	3	100
09/03/2015 02:25	0	7.7	30.8	16.1	3	100
09/03/2015 02:30	0	4.5	44.4	12.5	3	100
09/03/2015 02:35	0	5.3	27.3	11.4	3	100
09/03/2015 02:40	0	0	17.6	7.7	3	100
09/03/2015 02:45	0	7.1	31.6	19.4	3	100
09/03/2015 02:50	0	5.9	44.4	16.1	3	100
09/03/2015 02:55	0	20	0	11.8	3	100
09/03/2015 03:00	0	0	33.3	10.5	3	100
09/03/2015 03:05	0	0	9.1	2.9	3	100
09/03/2015 03:10	0	0	0	0	3	100
09/03/2015 03:15	0	14.3	50	25	3	100
09/03/2015 03:20	0	0	8.3	2.6	3	100
09/03/2015 03:25	0	11.1	26.3	15.4	3	100
09/03/2015 03:30	0	5.9	21.1	11.9	3	100
09/03/2015 03:35	0	4.5	18.8	8.5	3	100
09/03/2015 03:40	0	0	12.5	4	3	100
09/03/2015 03:45	0	15.4	25	18.9	3	100
09/03/2015 03:50	0	11.5	44	23.7	3	100
09/03/2015 03:55	0	3.8	27.3	12.5	3	100
09/03/2015 04:00	0	0	27.3	8.3	3	100
09/03/2015 04:05	0	0	25	9.1	3	100
09/03/2015 04:10	0	3.6	45	17.2	3	100
