5 Minutes	Lane 1 Speed (mph)	Lane 2 Speed (mph)	Lane 3 Speed (mph)	Speed (mph)	# Lane Points	% Observed
09/03/2015 00:00	71.9	69.7	59.5	66.4	3	67
09/03/2015 00:05	71.9	69	59.2	66.3	3	67
09/03/2015 00:10	71.9	73.1	59.4	68.3	3	67
09/03/2015 00:15	72.2	74.7	59.9	68.8	3	67
09/03/2015 00:20	71.9	52.7	56.2	57	3	67
09/03/2015 00:25	71.9	64	57	62.9	3	67
09/03/2015 00:30	71.7	69.1	59.6	66.9	3	67
09/03/2015 00:35	71.8	72.3	58.8	67.7	3	67
09/03/2015 00:40	71.8	61.4	56.2	61	3	67
09/03/2015 00:45	72.1	67.1	58.9	65.3	3	67
09/03/2015 00:50	72	69.5	60.1	66.2	3	67
09/03/2015 00:55	72	69.7	59.8	67.3	3	67
09/03/2015 01:00	71.9	60.3	56.1	60.3	3	67
09/03/2015 01:05	71.9	57.6	56.1	57.9	3	67
09/03/2015 01:10	71.8	64.9	57.6	64.6	3	67
09/03/2015 01:15	71.9	70.4	61	67.2	3	67
09/03/2015 01:20	71.9	70.4	60.1	67.1	3	67
09/03/2015 01:25	71.8	72.1	59.6	67.8	3	67
09/03/2015 01:30	71.7	56.5	55.6	58.7	3	67
09/03/2015 01:35	71.8	64.9	57.4	63.6	3	67
09/03/2015 01:40	71.8	68.2	58.5	65.8	3	67
09/03/2015 01:45	71.8	69.9	57.8	66.6	3	67
09/03/2015 01:50	71.8	48.3	56.1	52.2	3	67
09/03/2015 01:55	71.8	59	56.1	59.1	3	67
09/03/2015 02:00	71.7	48.9	56.1	51.7	3	67
09/03/2015 02:05	71.7	46.7	56.1	52.7	3	67
09/03/2015 02:10	71.7	41.5	56.1	51.4	3	67
09/03/2015 02:15	71.9	58.8	56.1	59	3	67
09/03/2015 02:20	71.8	66.7	58.7	65.4	3	67
09/03/2015 02:25	71.9	70.3	58.3	65.7	3	67
09/03/2015 02:30	71.9	56.8	56.2	59.1	3	67
09/03/2015 02:35	72	38.7	56.1	47.5	3	67
09/03/2015 02:40	71.8	44.2	56.2	52	3	67
09/03/2015 02:45	71.9	58.8	56.2	59.1	3	67
09/03/2015 02:50	71.8	61.8	56.2	60.7	3	67
09/03/2015 02:55	71.8	67.4	58	64.7	3	67
09/03/2015 03:00	71.7	73.1	57.9	68.5	3	67
09/03/2015 03:05	71.4	45.5	56.2	53.2	3	67
09/03/2015 03:10	71.7	59.5	56.1	58.4	3	67
09/03/2015 03:15	71.8	57.2	56.2	57.7	3	67
09/03/2015 03:20	71.8	33.5	56.2	44.6	3	67
09/03/2015 03:25	71.9	56.3	56.2	57.6	3	67
09/03/2015 03:30	71.8	65.8	58.1	63.7	3	67
09/03/2015 03:35	71.9	43.4	56.2	52.9	3	67
09/03/2015 03:40	72	59.5	56.2	60.2	3	67
09/03/2015 03:45	72	71.4	61.5	67.4	3	67
09/03/2015 03:50	72	41.5	56.2	50.3	3	67
09/03/2015 03:55	72	62.4	56.2	61.2	3	67
09/03/2015 04:00	71.8	69.4	59.5	67.1	3	67
09/03/2015 04:05	71.8	73.9	59.4	68.2	3	67
09/03/2015 04:10	71.8	55	56.2	58.5	3	67
09/03/2015 04:15	71.7	66.7	58.7	64.9	3	67
09/03/2015 04:20	71.8	66.7	56.7	64.2	3	67
09/03/2015 04:25	71.7	75.4	57	68.7	3	67
09/03/2015 04:30	71.9	79.7	58.3	71.2	3	67
09/03/2015 04:35	71.5	59.5	56.2	61.2	3	67
09/03/2015 04:40	71.6	50.8	56.2	57.2	3	67
